fid	AUC	study
371	GH9	0.505435438698151	PRJNA428736
372	GH94	0.392483533514142	PRJEB41443
373	GH94	0.537331044840163	PRJNA560950
374	GH94	0.512027027027027	PRJNA780023
375	GH94	0.481115250475587	PRJNA891951
376	GH94	0.49	PRJNA293971
377	GH94	0.46017094017094	PRJNA306884
378	GH94	0.478306533391279	PRJNA428736
379	GH95	0.463773731111972	PRJEB41443
380	GH95	0.393906886934134	PRJNA560950
381	GH95	0.494054054054054	PRJNA780023
382	GH95	0.479827203551046	PRJNA891951
383	GH95	0.50125	PRJNA293971
384	GH95	0.475042735042735	PRJNA306884
385	GH95	0.453742937853107	PRJNA428736
386	GH97	0.594730724525378	PRJEB41443
387	GH97	0.484445397983265	PRJNA560950
388	GH97	0.500540540540541	PRJNA780023
389	GH97	0.499445149017121	PRJNA891951
390	GH97	0.50875	PRJNA293971
391	GH97	0.494188034188034	PRJNA306884
392	GH97	0.508230117340287	PRJNA428736
393	GH99	0.497481596280511	PRJEB41443
394	GH99	0.534327397554173	PRJNA560950
395	GH99	0.516858108108108	PRJNA780023
396	GH99	0.495997146480659	PRJNA891951
397	GH99	0.466875	PRJNA293971
398	GH99	0.532478632478632	PRJNA306884
399	GH99	0.493007267371674	PRJNA428736
400	GT1	0.445176288260364	PRJEB41443
401	GT1	0.389401416005149	PRJNA560950
402	GT1	0.465337837837838	PRJNA780023
403	GT1	0.472257450856056	PRJNA891951
404	GT1	0.5225	PRJNA293971
405	GT1	0.433504273504274	PRJNA306884
406	GT1	0.537942440484813	PRJNA428736
407	GT10	0.524409143742735	PRJEB41443
408	GT10	0.48229993563613	PRJNA560950
409	GT10	0.50195945945946	PRJNA780023
410	GT10	0.519419784400761	PRJNA891951
411	GT10	0.48625	PRJNA293971
412	GT10	0.465641025641026	PRJNA306884
413	GT10	0.476498744507219	PRJNA428736
414	GT12	0.4118558698179	PRJEB41443
415	GT12	0.501716369877709	PRJNA560950
416	GT12	0.482939189189189	PRJNA780023
417	GT12	0.472217818642993	PRJNA891951
418	GT12	0.505	PRJNA293971
419	GT12	0.49017094017094	PRJNA306884
420	GT12	0.482945217055387	PRJNA428736
421	GT14	0.469197985277024	PRJEB41443
422	GT14	0.489701780733748	PRJNA560950
423	GT14	0.466722972972973	PRJNA780023
424	GT14	0.497780596068484	PRJNA891951
425	GT14	0.4625	PRJNA293971
426	GT14	0.502905982905983	PRJNA306884
427	GT14	0.511897001303781	PRJNA428736
428	GT17	0.453118946144905	PRJEB41443
429	GT17	0.498927268826432	PRJNA560950
430	GT17	0.489189189189189	PRJNA780023
431	GT17	0.56321337983513	PRJNA891951
432	GT17	0.48625	PRJNA293971
433	GT17	0.443076923076923	PRJNA306884
434	GT17	0.484668501617654	PRJNA428736
435	GT19	0.540488182874855	PRJEB41443
436	GT19	0.529929199742544	PRJNA560950
437	GT19	0.512837837837838	PRJNA780023
438	GT19	0.488031071655041	PRJNA891951
439	GT19	0.49375	PRJNA293971
440	GT19	0.523076923076923	PRJNA306884
441	GT19	0.489098942488773	PRJNA428736
442	GT2	0.385122045718714	PRJEB41443
443	GT2	0.459987127225917	PRJNA560950
444	GT2	0.4725	PRJNA780023
445	GT2	0.484979391249207	PRJNA891951
446	GT2	0.47625	PRJNA293971
447	GT2	0.417264957264957	PRJNA306884
448	GT2	0.497745545415037	PRJNA428736
449	GT20	0.420379697791554	PRJEB41443
450	GT20	0.515018236429951	PRJNA560950
451	GT20	0.4975	PRJNA780023
452	GT20	0.498375079264426	PRJNA891951
453	GT20	0.4225	PRJNA293971
454	GT20	0.537948717948718	PRJNA306884
455	GT20	0.487973224202038	PRJNA428736
456	GT21	0.466098411468423	PRJEB41443
457	GT21	0.469212615318601	PRJNA560950
458	GT21	0.515135135135135	PRJNA780023
459	GT21	0.490745878249841	PRJNA891951
460	GT21	0.5075	PRJNA293971
461	GT21	0.502393162393162	PRJNA306884
462	GT21	0.464459896663286	PRJNA428736
463	GT22	0.454475009686168	PRJEB41443
464	GT22	0.480583565758421	PRJNA560950
465	GT22	0.534594594594595	PRJNA780023
466	GT22	0.498236366518706	PRJNA891951
467	GT22	0.503125	PRJNA293971
468	GT22	0.541111111111111	PRJNA306884
469	GT22	0.506564174996378	PRJNA428736
470	GT25	0.475590856257265	PRJEB41443
471	GT25	0.491954516198241	PRJNA560950
472	GT25	0.501148648648649	PRJNA780023
473	GT25	0.502595909955612	PRJNA891951
474	GT25	0.449375	PRJNA293971
475	GT25	0.512905982905983	PRJNA306884
476	GT25	0.506123545318461	PRJNA428736
477	GT26	0.444788841534289	PRJEB41443
478	GT26	0.560394765071873	PRJNA560950
479	GT26	0.535337837837838	PRJNA780023
480	GT26	0.493500317057705	PRJNA891951
481	GT26	0.53125	PRJNA293971
482	GT26	0.520512820512821	PRJNA306884
483	GT26	0.470559297889806	PRJNA428736
484	GT28	0.498256489732662	PRJEB41443
485	GT28	0.593113065865694	PRJNA560950
486	GT28	0.500608108108108	PRJNA780023
487	GT28	0.516090678503488	PRJNA891951
488	GT28	0.53875	PRJNA293971
489	GT28	0.505128205128205	PRJNA306884
490	GT28	0.541733062919504	PRJNA428736
491	GT3	0.563734986439365	PRJEB41443
492	GT3	0.534649216906243	PRJNA560950
493	GT3	0.498243243243243	PRJNA780023
494	GT3	0.49072606214331	PRJNA891951
